Title,Company,Location,Experience,Summary,Skills,Cluster
Senior AI Engineer - Poe (Remote),"Quora, Inc.",India,4-6 year,"About Quora:Quora’s mission is to grow and share the world’s knowledge. To do so, we have two knowledge sharing products:Quora: a global knowledge sharing platform with over...","aartificial intelligence,large language models - llms,machine learning techniques,natural language processing (nlp),python programming,writing",0
"Chief of Staff, gTech Ads Customer Experience",Google,"Hyderabad, Telangana, India",6-8 year,Minimum qualifications:Bachelor's degree or equivalent practical experience.6 years of experience in management consulting or strategy/business planning.6 years of...,"data analytics,data science techniques,sql",4
"Customer Engineering Manager, Data Analytics",Google,"Bengaluru, Karnataka, India; Mumbai, Maharashtra, India; Gurugram, Haryana, India",10-12 year,Minimum qualifications:Bachelor's degree or equivalent practical experience.10 years of experience with cloud native architecture in a customer-facing or support...,"aartificial intelligence,data analytics,data science techniques,sales",1
"Data Scientist Product, Analytics, Insights and Measurement",Google,"Bengaluru, Karnataka, India",6-8 year,"Minimum qualifications:Bachelor's degree in Statistics, Mathematics, Data Science, Engineering, Physics, Economics, or a related quantitative field.5 years of work experience...","data science techniques,product analytics,python programming,r programming,sql",4
Engineering Manager - Poe Platform (Remote),"Quora, Inc.",India,8-10 year,"About Quora:Quora’s mission is to grow and share the world’s knowledge. To do so, we have two knowledge sharing products:Quora: a global knowledge sharing platform with over...","aartificial intelligence,design,docker,infrastructure as code,kubernetes-k8s,machine learning techniques,terraform",2
"Staff Backend Software Engineer - Core Product, Poe (Remote)","Quora, Inc.",India,6-8 year,"About Quora:Quora’s mission is to grow and share the world’s knowledge. To do so, we have two knowledge sharing products:Quora: a global knowledge sharing platform with over...","aartificial intelligence,api,data science techniques,design,mysql,python programming",1
"Senior Software Engineer - Data Infrastructure, Quora (Remote)","Quora, Inc.",India,4-6 year,"About Quora:Quora’s mission is to grow and share the world’s knowledge. To do so, we have two knowledge sharing products:Quora: a global knowledge sharing platform with over...","amazon elastic compute cloud-ec2,amazon simple storage service (s3),aws,data engineering,data science techniques,infrastructure as code,nosql,python programming,sql",4
"Senior Engineer, Software Verification",Boston Scientific Corporation,"Pune, Maharashtra, India",8-10 year,"About This Role:The Senior Software Test Engineer will join a highly effective product test team, working side-by-side with developers in an Agile environment, provides technical guidelines...","aartificial intelligence,azure,design,effective communication skills,python programming,scrum agile methodology",1
Senior Business Data Scientist,Kinaxis,"Chennai, Tamil Nadu, India",6-8 year,"As a senior contributor on the Innovation and Data Science team, the Senior Business Data Scientist (BDS) has in-depth professional knowledge and skill in the areas of data science and machine...","aartificial intelligence,data science techniques,docker,kubernetes-k8s,machine learning techniques,mysql,oracle,postgresql,python programming,spark programming,sql",1
"Senior Full Stack Engineer - Creators Platform, Poe (Remote)","Quora, Inc.",India,6-8 year,"About Quora:Quora’s mission is to grow and share the world’s knowledge. To do so, we have two knowledge sharing products:Quora: a global knowledge sharing platform with over...","data science techniques,design,graphql,large language models - llms,python programming,react.js,typescript",7
Senior AI Engineer - Poe (Remote),"Quora, Inc.",India,4-6 year,"About Quora:Quora’s mission is to grow and share the world’s knowledge. To do so, we have two knowledge sharing products:Quora: a global knowledge sharing platform with over...","aartificial intelligence,large language models - llms,machine learning techniques,natural language processing (nlp),python programming,writing",0
"Chief of Staff, gTech Ads Customer Experience",Google,"Hyderabad, Telangana, India",6-8 year,Minimum qualifications:Bachelor's degree or equivalent practical experience.6 years of experience in management consulting or strategy/business planning.6 years of...,"data analytics,data science techniques,sql",4
"Customer Engineering Manager, Data Analytics",Google,"Bengaluru, Karnataka, India; Mumbai, Maharashtra, India; Gurugram, Haryana, India",10-12 year,Minimum qualifications:Bachelor's degree or equivalent practical experience.10 years of experience with cloud native architecture in a customer-facing or support...,"aartificial intelligence,data analytics,data science techniques,sales",1
"Data Scientist Product, Analytics, Insights and Measurement",Google,"Bengaluru, Karnataka, India",6-8 year,"Minimum qualifications:Bachelor's degree in Statistics, Mathematics, Data Science, Engineering, Physics, Economics, or a related quantitative field.5 years of work experience...","data science techniques,product analytics,python programming,r programming,sql",4
Engineering Manager - Poe Platform (Remote),"Quora, Inc.",India,8-10 year,"About Quora:Quora’s mission is to grow and share the world’s knowledge. To do so, we have two knowledge sharing products:Quora: a global knowledge sharing platform with over...","aartificial intelligence,design,docker,infrastructure as code,kubernetes-k8s,machine learning techniques,terraform",2
"Staff Backend Software Engineer - Core Product, Poe (Remote)","Quora, Inc.",India,6-8 year,"About Quora:Quora’s mission is to grow and share the world’s knowledge. To do so, we have two knowledge sharing products:Quora: a global knowledge sharing platform with over...","aartificial intelligence,api,data science techniques,design,mysql,python programming",1
"Senior Software Engineer - Data Infrastructure, Quora (Remote)","Quora, Inc.",India,4-6 year,"About Quora:Quora’s mission is to grow and share the world’s knowledge. To do so, we have two knowledge sharing products:Quora: a global knowledge sharing platform with over...","amazon elastic compute cloud-ec2,amazon simple storage service (s3),aws,data engineering,data science techniques,infrastructure as code,nosql,python programming,sql",4
"Senior Engineer, Software Verification",Boston Scientific Corporation,"Pune, Maharashtra, India",8-10 year,"About This Role:The Senior Software Test Engineer will join a highly effective product test team, working side-by-side with developers in an Agile environment, provides technical guidelines...","aartificial intelligence,azure,design,effective communication skills,python programming,scrum agile methodology",1
Senior Business Data Scientist,Kinaxis,"Chennai, Tamil Nadu, India",6-8 year,"As a senior contributor on the Innovation and Data Science team, the Senior Business Data Scientist (BDS) has in-depth professional knowledge and skill in the areas of data science and machine...","aartificial intelligence,data science techniques,docker,kubernetes-k8s,machine learning techniques,mysql,oracle,postgresql,python programming,spark programming,sql",1
"Senior Full Stack Engineer - Creators Platform, Poe (Remote)","Quora, Inc.",India,6-8 year,"About Quora:Quora’s mission is to grow and share the world’s knowledge. To do so, we have two knowledge sharing products:Quora: a global knowledge sharing platform with over...","data science techniques,design,graphql,large language models - llms,python programming,react.js,typescript",7
Senior AI Engineer - Poe (Remote),"Quora, Inc.",India,4-6 year,"About Quora:Quora’s mission is to grow and share the world’s knowledge. To do so, we have two knowledge sharing products:Quora: a global knowledge sharing platform with over...","aartificial intelligence,large language models - llms,machine learning techniques,natural language processing (nlp),python programming,writing",0
"Chief of Staff, gTech Ads Customer Experience",Google,"Hyderabad, Telangana, India",6-8 year,Minimum qualifications:Bachelor's degree or equivalent practical experience.6 years of experience in management consulting or strategy/business planning.6 years of...,"data analytics,data science techniques,sql",4
"Customer Engineering Manager, Data Analytics",Google,"Bengaluru, Karnataka, India; Mumbai, Maharashtra, India; Gurugram, Haryana, India",10-12 year,Minimum qualifications:Bachelor's degree or equivalent practical experience.10 years of experience with cloud native architecture in a customer-facing or support...,"aartificial intelligence,data analytics,data science techniques,sales",1
"Data Scientist Product, Analytics, Insights and Measurement",Google,"Bengaluru, Karnataka, India",6-8 year,"Minimum qualifications:Bachelor's degree in Statistics, Mathematics, Data Science, Engineering, Physics, Economics, or a related quantitative field.5 years of work experience...","data science techniques,product analytics,python programming,r programming,sql",4
