Title,Company,Location,Experience,Summary,Skills,Cluster
"Senior Software Engineer - Developer Productivity, Poe (Remote)","Quora, Inc.",India,8-10 year,"About Quora:Quora’s mission is to grow and share the world’s knowledge. To do so, we have two knowledge sharing products:Quora: a global knowledge sharing platform with over...","data science techniques,design,graphql,next.js,software development,streaming apis",7
Senior iOS Engineer - Poe (Remote),"Quora, Inc.",India,8-10 year,"About Quora:Quora’s mission is to grow and share the world’s knowledge. To do so, we have two knowledge sharing products:Quora: a global knowledge sharing platform with over...","aartificial intelligence,graphql,ios platform,javascript,machine learning techniques,python programming,swift,typescript",7
"Senior Backend Engineer - API & Bot Creator Experience, Poe (Remote)","Quora, Inc.",India,4-6 year,"About Quora:Quora’s mission is to grow and share the world’s knowledge. To do so, we have two knowledge sharing products:Quora: a global knowledge sharing platform with over...","api,data science techniques,graphql,next.js,streaming apis",7
"Chief of Staff, gTech Ads Customer Experience",Google,"Hyderabad, Telangana, India",6-8 year,Minimum qualifications:Bachelor's degree or equivalent practical experience.6 years of experience in management consulting or strategy/business planning.6 years of...,"data analytics,data science techniques,sql",4
"Customer Engineering Manager, Data Analytics",Google,"Bengaluru, Karnataka, India; Mumbai, Maharashtra, India; Gurugram, Haryana, India",10-12 year,Minimum qualifications:Bachelor's degree or equivalent practical experience.10 years of experience with cloud native architecture in a customer-facing or support...,"aartificial intelligence,data analytics,data science techniques,sales",1
"Data Scientist Product, Analytics, Insights and Measurement",Google,"Bengaluru, Karnataka, India",6-8 year,"Minimum qualifications:Bachelor's degree in Statistics, Mathematics, Data Science, Engineering, Physics, Economics, or a related quantitative field.5 years of work experience...","data science techniques,product analytics,python programming,r programming,sql",4
"Senior Data Scientist Product, Google One and Photos",Google,"Bengaluru, Karnataka, India",8-10 year,"Minimum qualifications:Bachelor's degree in Statistics, Mathematics, Data Science, Engineering, Physics, Economics, a related quantitative field, or equivalent practical...","data science techniques,design,python programming,r programming,sql",4
Senior Software Engineer-AI/ML Developer / Lead- Vertex AI & Gemini (Full Stack Integration for IDP),CGI Inc.,"Bangalore, Karnataka, India",6-8 year,"We are seeking a Senior AI/ML Developer or Technical Lead with proven expertise in Google Cloud Platform (GCP), Vertex AI, Gemini models, and Full Stack integration to help build and scale...","aartificial intelligence,continuous integration & continuous delivery - ci/cd,github,google bigquery,google cloud platform (gcp),javascript,machine learning techniques,mlflow,natural language processing (nlp),typescript",2
"Data Scientist Product, Google One and Photos",Google,"Bengaluru, Karnataka, India",6-8 year,"Minimum qualifications:Bachelor's degree in Statistics, Mathematics, Data Science, Engineering, Physics, Economics, a related quantitative field, or equivalent practical...","data science techniques,python programming,r programming,sql",4
"Senior Data Scientist, Product, Android App Safety",Google,"Bengaluru, Karnataka, India",8-10 year,"Minimum qualifications:Bachelor's degree in Statistics, Mathematics, Data Science, Engineering, Physics, Economics, or a related quantitative field.8 years of work experience...","data science techniques,kpi,product management,python programming,r programming,sql",4
"Senior Software Engineer - Developer Productivity, Poe (Remote)","Quora, Inc.",India,8-10 year,"About Quora:Quora’s mission is to grow and share the world’s knowledge. To do so, we have two knowledge sharing products:Quora: a global knowledge sharing platform with over...","data science techniques,design,graphql,next.js,software development,streaming apis",7
Senior iOS Engineer - Poe (Remote),"Quora, Inc.",India,8-10 year,"About Quora:Quora’s mission is to grow and share the world’s knowledge. To do so, we have two knowledge sharing products:Quora: a global knowledge sharing platform with over...","aartificial intelligence,graphql,ios platform,javascript,machine learning techniques,python programming,swift,typescript",7
"Senior Backend Engineer - API & Bot Creator Experience, Poe (Remote)","Quora, Inc.",India,4-6 year,"About Quora:Quora’s mission is to grow and share the world’s knowledge. To do so, we have two knowledge sharing products:Quora: a global knowledge sharing platform with over...","api,data science techniques,graphql,next.js,streaming apis",7
